number,sys_updated_at,reassigned,problem_id,contact_type,u_symptom,assignment_group,location,resolved_by,subcategory,u_priority_confirmation,closed_code,opened_by,active,incident_state,urgency,category,rfc,priority,assigned_to,vendor,caused_by,knowledge,reassignment_count,cmdb_ci,impact,D_sys_mod_count,D_reopen_count
INC0000085,2016-07-03 15:00:00,0,2,254,265,794,867,1093,1304,1556,1561,1577,1783,1786,1793,1798,1,2035,1,1,1,2280,2282,1,2360,2366,2368
INC0000086,2016-06-03 16:00:00,1,2,254,260,788,871,1090,1311,1556,1561,1579,1783,1786,1793,1806,1,2035,1,1,1,2280,2283,1,2360,2366,2368
INC0000087,2016-07-03 15:00:00,0,2,254,1,794,872,1093,1317,1556,1561,1577,1783,1786,1793,1800,1,2035,1,1,1,2280,2282,1,2360,2365,2368
INC0000088,2016-05-03 10:00:00,0,1,254,268,785,865,1098,1314,1556,1562,1577,1783,1786,1793,1803,1,2035,1,1,1,2280,2282,1,2360,2364,2368
INC0000089,2016-08-03 15:00:00,1,1,254,273,793,866,1092,1308,1556,1563,1577,1783,1786,1794,1802,1,2037,2045,1,1,2280,2285,1,2360,2367,2368
INC0000092,2016-12-03 09:00:00,1,2,254,265,801,873,1101,1312,1556,1558,1580,1783,1786,1793,1800,1,2035,1,1,1,2280,2283,1,2360,2366,2368
INC0000093,2016-05-03 10:00:00,0,1,254,263,785,865,1102,1311,1556,1561,1578,1783,1786,1793,1807,1,2035,1,1,1,2280,2282,1,2360,2363,2368
INC0000094,2016-10-03 10:45:00,0,1,254,1,796,864,1103,1313,1556,1562,1581,1782,1785,1794,1802,1,2037,2049,1,1,2280,2282,1,2362,2367,2368
INC0000098,2016-07-03 15:00:00,1,2,254,260,794,866,1093,1317,1556,1561,1579,1783,1786,1793,1800,1,2035,1,1,1,2280,2283,1,2360,2366,2368
INC0000099,2016-06-03 10:00:00,1,1,254,274,802,874,1104,1311,1556,1565,1577,1783,1786,1793,1806,1,2035,2054,1,1,2280,2283,1,2360,2365,2368
INC0000100,2016-07-03 15:00:00,0,2,254,265,794,867,1093,1312,1556,1561,1580,1783,1786,1793,1800,1,2035,1,1,1,2280,2282,1,2360,2365,2368
INC0000101,2016-05-03 12:00:00,0,1,254,276,797,862,1099,1302,1556,1562,1577,1783,1786,1794,1796,1,2037,2050,1,1,2280,2282,1,2360,2366,2368
INC0000102,2016-11-03 11:53:00,1,1,254,277,788,868,1095,1320,1556,1566,1578,1782,1788,1793,1808,1,2035,2040,1,1,2280,2286,1,2360,2367,2368
INC0000103,2016-07-03 15:00:00,0,2,254,1,794,866,1093,1317,1556,1561,1577,1783,1786,1793,1800,1,2035,1,1,1,2280,2282,1,2360,2365,2368
INC0000104,2016-06-03 12:00:00,1,1,254,278,802,874,1104,1306,1557,1562,1577,1783,1786,1793,1800,1,2036,2054,1,1,2280,2283,1,2361,2366,2368
INC0000105,2016-05-03 12:00:00,1,1,254,1,804,865,1105,1322,1556,1567,1577,1783,1786,1793,1802,1,2035,1,1,1,2280,2283,1,2360,2366,2368
INC0000110,2016-07-03 15:00:00,0,2,254,265,794,866,1093,1312,1556,1561,1580,1783,1786,1793,1800,1,2035,1,1,1,2280,2282,1,2360,2365,2368
INC0000111,2016-07-03 15:00:00,0,2,254,265,794,865,1093,1323,1556,1561,1577,1783,1786,1793,1800,1,2035,1,1,1,2280,2282,1,2360,2365,2368
INC0000112,2016-07-03 16:00:00,1,1,254,277,788,865,1106,1320,1556,1561,1578,1783,1786,1793,1808,1,2035,2055,1,1,2280,2284,1,2360,2366,2368
INC0000113,2016-07-03 20:00:00,0,1,254,1,787,864,1107,1324,1556,1562,1579,1783,1786,1793,1796,1,2035,2056,1,1,2280,2282,1,2360,2365,2368
INC0000114,2016-08-03 02:00:00,1,2,254,1,785,867,1108,1317,1556,1561,1577,1783,1786,1793,1800,1,2035,1,1,1,2280,2283,1,2360,2367,2368
INC0000115,2016-06-03 09:00:00,1,1,254,279,786,867,1087,1311,1556,1567,1578,1783,1786,1793,1799,1,2035,2039,1,1,2280,2284,1,2360,2366,2368
INC0000116,2016-06-03 13:00:00,1,1,254,274,806,866,1109,1320,1556,1562,1577,1783,1786,1793,1808,1,2035,1,1,1,2280,2283,1,2360,2365,2368
INC0000119,2016-06-03 10:00:00,0,1,254,260,786,867,1087,1311,1556,1567,1577,1783,1786,1793,1799,1,2035,2039,1,1,2280,2282,1,2360,2365,2368
INC0000121,2016-05-03 17:00:00,0,1,254,260,788,865,1090,1312,1556,1561,1580,1783,1786,1793,1800,1,2035,1,1,1,2280,2282,1,2360,2364,2368
INC0000122,2016-06-03 17:00:00,1,1,254,281,807,875,1110,1326,1556,1560,1579,1783,1786,1793,1802,1,2035,1,1,1,2280,2283,1,2360,2365,2368
INC0000123,2016-07-03 15:00:00,0,2,254,265,794,866,1093,1317,1556,1561,1577,1783,1786,1793,1800,1,2035,1,1,1,2280,2282,1,2360,2365,2368
INC0000124,2016-05-03 12:00:00,0,1,254,265,793,866,1111,1312,1556,1561,1580,1783,1786,1793,1800,1,2035,2057,1,1,2280,2282,1,2360,2365,2368
INC0000125,2016-06-03 09:00:00,1,2,254,279,800,866,1112,1311,1557,1564,1578,1783,1786,1793,1799,1,2035,2058,1,1,2280,2283,1,2360,2366,2368
INC0000126,2016-07-03 15:00:00,0,2,254,265,794,876,1093,1327,1556,1561,1577,1783,1786,1793,1800,1,2035,1,1,1,2280,2282,1,2360,2365,2368
INC0000128,2016-11-03 12:15:00,1,1,254,268,808,877,1113,1328,1556,1562,1578,1782,1785,1793,1801,1,2035,2059,1,1,2280,2284,1,2360,2367,2368
INC0000129,2016-09-03 11:13:00,1,1,254,268,795,870,1114,1329,1556,1562,1577,1782,1788,1793,1810,1,2035,2060,1,1,2280,2283,1,2360,2366,2368
INC0000130,2016-08-03 11:00:00,1,1,254,265,809,864,1115,1311,1556,1562,1582,1783,1786,1793,1807,1,2035,2061,1,1,2280,2283,1,2360,2366,2368
INC0000131,2016-08-03 10:00:00,0,1,254,263,796,879,1103,1313,1556,1568,1581,1783,1786,1793,1802,1,2035,2051,1,1,2280,2282,1,2360,2365,2368
INC0000132,2016-08-03 16:00:00,1,1,254,263,788,864,1116,1311,1556,1562,1578,1783,1786,1793,1799,1,2035,2062,1,1,2280,2284,1,2360,2366,2368
INC0000134,2016-08-03 09:00:00,1,1,254,263,809,864,1115,1330,1556,1565,1583,1783,1786,1794,1811,1,2037,2061,1,1,2280,2283,1,2362,2365,2368
INC0000135,2016-05-03 17:00:00,0,1,254,265,785,864,1117,1312,1556,1567,1580,1783,1786,1793,1800,1,2035,2045,1,1,2280,2282,1,2360,2366,2368
INC0000137,2016-05-03 12:00:00,0,1,254,265,785,874,1100,1315,1556,1562,1579,1783,1786,1793,1804,1,2035,1,1,1,2280,2282,1,2360,2365,2368
INC0000139,2016-06-03 10:00:00,1,1,254,268,794,864,1093,1331,1556,1562,1578,1783,1786,1793,1800,1,2035,1,1,1,2280,2283,1,2360,2366,2368
INC0000140,2016-08-03 12:00:00,1,1,254,282,787,880,1089,1311,1556,1562,1577,1783,1786,1793,1799,1,2035,2042,1,1,2280,2283,1,2360,2366,2368
INC0000141,2016-07-03 15:00:00,0,2,254,265,794,865,1093,1312,1556,1561,1580,1783,1786,1793,1800,1,2035,1,1,1,2280,2282,1,2360,2365,2368
INC0000146,2016-07-03 15:00:00,0,2,254,283,794,881,1093,1317,1556,1561,1579,1783,1786,1793,1800,1,2035,1,1,1,2280,2282,1,2360,2365,2368
INC0000147,2016-08-03 13:32:00,1,2,254,265,787,882,1089,1312,1556,1558,1580,1782,1787,1793,1800,1,2035,2042,1,1,2280,2283,1,2360,2366,2368
INC0000148,2016-07-03 16:00:00,0,2,254,265,794,865,1093,1327,1556,1563,1583,1783,1786,1793,1800,1,2035,1,1,1,2280,2282,1,2360,2365,2368
INC0000149,2016-07-03 16:00:00,0,2,254,265,794,876,1093,1327,1556,1561,1582,1783,1786,1793,1800,1,2035,1,1,1,2280,2282,1,2360,2365,2368
INC0000152,2016-08-03 10:00:00,0,1,254,268,802,874,1104,1306,1557,1562,1577,1783,1786,1793,1800,1,2035,2054,1,1,2280,2282,1,2360,2365,2368
INC0000153,2016-07-03 15:00:00,0,2,254,283,794,866,1093,1317,1556,1561,1579,1783,1786,1793,1800,1,2035,1,1,1,2280,2282,1,2360,2365,2368
INC0000155,2016-07-03 16:00:00,0,2,254,1,794,883,1093,1317,1556,1561,1577,1783,1786,1793,1800,1,2035,1,1,1,2280,2282,1,2360,2365,2368
INC0000156,2016-07-03 16:00:00,0,2,254,265,794,865,1093,1327,1556,1561,1583,1783,1786,1793,1800,1,2035,1,1,1,2280,2282,1,2360,2365,2368
INC0000158,2016-07-03 16:00:00,0,1,254,265,794,884,1093,1327,1556,1561,1584,1783,1786,1793,1800,1,2035,1,1,1,2280,2282,1,2360,2364,2368
INC0000159,2016-07-03 11:00:00,1,1,254,284,789,862,1094,1311,1556,1562,1577,1783,1786,1793,1806,1,2035,1,1,1,2280,2283,1,2360,2366,2368
INC0000160,2016-05-03 11:00:00,0,1,254,265,785,862,1118,1312,1556,1561,1580,1783,1786,1793,1800,1,2035,2051,1,1,2280,2282,1,2360,2363,2368
INC0000161,2016-08-03 09:22:00,1,1,254,274,795,881,1095,1320,1556,1562,1577,1782,1788,1794,1808,1,2037,2040,1,1,2280,2284,1,2362,2367,2368
INC0000164,2016-08-03 15:00:00,1,2,254,265,785,885,1119,1332,1556,1564,1578,1783,1786,1793,1800,1,2035,1,1,1,2280,2284,1,2360,2366,2368
INC0000166,2016-05-03 17:00:00,0,1,254,285,800,866,1112,1311,1557,1562,1583,1783,1786,1793,1799,1,2035,2058,1,1,2280,2282,1,2360,2365,2368
INC0000167,2016-05-03 12:00:00,0,1,254,1,785,866,1100,1304,1556,1562,1579,1783,1786,1793,1798,1,2035,2047,1,1,2280,2282,1,2360,2365,2368
INC0000168,2016-06-03 10:00:00,0,1,254,286,786,867,1087,1311,1556,1567,1578,1783,1786,1793,1799,1,2035,2039,1,1,2280,2282,1,2360,2364,2368
INC0000169,2016-07-03 16:00:00,0,2,254,265,794,866,1093,1327,1556,1561,1582,1783,1786,1793,1800,1,2035,1,1,1,2280,2282,1,2360,2364,2368
INC0000171,2016-04-03 17:52:00,1,1,254,287,788,881,1120,1311,1556,1567,1577,1782,1788,1793,1806,1,2036,1,1,1,2280,2284,1,2361,2366,2368
INC0000172,2016-05-03 19:00:00,1,1,254,1,810,885,1121,1329,1556,1562,1577,1783,1786,1793,1810,1,2035,2065,1,1,2280,2283,1,2360,2367,2368
INC0000173,2016-11-04 14:49:00,1,1,254,263,797,886,1122,1333,1556,1563,1585,1782,1788,1793,1796,1,2037,2066,1,1,2280,2283,1,2362,2367,2368
INC0000174,2016-02-29 10:52:00,0,1,254,263,785,874,1103,1315,1556,1563,1578,1782,1784,1793,1804,1,2035,1,1,1,2280,2282,1,2360,2363,2368
INC0000176,2016-07-03 16:00:00,0,1,254,265,794,865,1093,1327,1556,1561,1583,1783,1786,1793,1800,1,2035,1,1,1,2280,2282,1,2360,2364,2368
INC0000178,2016-05-03 12:00:00,0,1,254,289,785,887,1100,1334,1556,1562,1577,1783,1786,1793,1798,1,2035,1,1,1,2280,2282,1,2360,2365,2368
INC0000179,2016-07-03 10:00:00,0,1,254,265,789,862,1094,1312,1556,1562,1580,1783,1786,1793,1800,1,2035,2046,1,1,2280,2282,1,2360,2364,2368
INC0000192,2016-05-03 12:00:00,0,1,254,268,785,862,1102,1335,1556,1561,1578,1783,1786,1793,1802,1,2035,1,1,1,2280,2282,1,2360,2364,2368
INC0000193,2016-06-03 17:00:00,1,1,254,290,811,864,1123,1320,1556,1562,1582,1783,1786,1793,1808,1,2035,2067,1,1,2280,2283,1,2360,2366,2368
INC0000194,2016-05-03 12:00:00,0,1,254,268,785,865,1098,1314,1556,1562,1577,1783,1786,1793,1803,1,2035,1,1,1,2280,2282,1,2360,2364,2368
INC0000195,2016-07-03 16:00:00,0,2,254,265,794,888,1093,1327,1556,1559,1580,1783,1786,1793,1800,1,2035,1,1,1,2280,2282,1,2360,2365,2368
INC0000197,2016-09-03 11:46:00,1,1,254,273,804,866,1112,1335,1556,1567,1578,1782,1787,1793,1802,1,2035,1,1,1,2280,2287,1,2360,2367,2368
INC0000199,2016-05-03 12:00:00,0,1,254,291,785,864,1120,1318,1556,1564,1584,1783,1786,1794,1803,1,2037,2064,1,1,2280,2282,1,2362,2363,2368
INC0000204,2016-05-03 17:00:00,0,1,254,265,788,865,1090,1306,1556,1569,1583,1783,1786,1794,1800,1,2037,1,1,1,2280,2282,1,2362,2365,2368
INC0000207,2016-05-03 21:00:00,0,1,254,262,785,864,1124,1311,1556,1562,1578,1783,1786,1793,1799,1,2035,2069,1,1,2280,2282,1,2360,2365,2368
INC0000211,2016-08-03 07:00:00,0,1,254,1,785,865,1098,1336,1556,1562,1577,1783,1786,1793,1810,1,2035,2063,1,1,2280,2282,1,2360,2366,2368
INC0000213,2016-05-03 13:00:00,0,1,254,265,785,889,1118,1312,1556,1561,1580,1783,1786,1793,1800,1,2035,1,1,1,2280,2282,1,2360,2365,2368
INC0000217,2016-08-03 09:27:00,1,1,254,1,795,881,1095,1337,1556,1562,1584,1782,1788,1793,1808,1,2035,2040,1,1,2280,2284,1,2360,2366,2368
INC0000218,2016-05-03 14:00:00,1,1,254,1,788,865,1098,1311,1556,1562,1577,1783,1786,1793,1799,1,2035,1,1,1,2280,2283,1,2360,2366,2368
INC0000220,2016-09-03 17:24:00,1,1,254,265,788,890,1090,1312,1556,1562,1580,1782,1785,1793,1800,1,2035,2070,1,1,2280,2283,1,2360,2366,2368
INC0000221,2016-07-03 15:00:00,1,1,254,292,813,862,1125,1338,1556,1567,1578,1783,1786,1793,1807,1,2035,2071,1,1,2280,2283,1,2360,2365,2368
INC0000223,2016-08-03 09:00:00,1,1,254,265,790,890,1126,1312,1556,1563,1580,1783,1786,1793,1800,1,2035,2072,1,1,2280,2283,1,2360,2367,2368
INC0000228,2016-05-03 17:00:00,0,1,254,1,800,891,1112,1321,1557,1564,1584,1783,1786,1793,1809,1,2035,2058,1,1,2280,2282,1,2360,2365,2368
INC0000230,2016-07-03 15:12:00,1,1,254,293,793,867,1111,1339,1556,1559,1586,1782,1785,1793,1796,1,2035,2057,1,1,2280,2283,1,2360,2367,2368
INC0000232,2016-12-03 21:23:00,1,1,254,265,785,862,1127,1335,1556,1561,1583,1782,1785,1794,1802,1,2037,2073,1,1,2280,2283,1,2362,2367,2368
INC0000236,2016-05-03 14:00:00,0,1,254,265,785,866,1102,1322,1556,1561,1578,1783,1786,1793,1802,1,2035,1,1,1,2280,2282,1,2360,2365,2368
INC0000237,2016-06-03 15:00:00,0,1,254,265,785,866,1117,1335,1556,1559,1582,1783,1786,1793,1802,1,2035,2068,1,1,2280,2282,1,2360,2365,2368
INC0000246,2016-09-03 12:00:00,1,1,254,266,800,866,1128,1334,1556,1562,1579,1783,1786,1793,1798,1,2035,2074,1,1,2280,2283,1,2360,2367,2368
INC0000250,2016-12-03 21:30:00,1,1,254,1,785,867,1127,1315,1556,1561,1584,1782,1785,1793,1804,1,2035,2073,1,1,2280,2286,1,2360,2367,2368
INC0000253,2016-07-03 10:00:00,1,1,254,1,789,862,1091,1321,1556,1562,1586,1783,1786,1793,1809,1,2035,1,1,1,2280,2283,1,2360,2366,2368
INC0000257,2016-05-03 23:00:00,0,1,254,263,792,892,1124,1341,1556,1562,1583,1783,1786,1793,1808,1,2035,1,1,1,2280,2282,1,2360,2365,2368
INC0000259,2016-07-03 11:00:00,1,1,254,263,800,866,1112,1311,1556,1564,1582,1783,1786,1793,1799,1,2035,2058,1,1,2280,2283,1,2360,2367,2368
INC0000260,2016-08-03 16:00:00,0,1,254,268,815,874,1129,1342,1556,1565,1587,1783,1786,1793,1812,1,2035,1,1,1,2280,2282,1,2360,2365,2368
INC0000261,2016-02-29 17:47:00,0,3,254,276,816,893,1130,1343,1557,1563,1588,1782,1785,1795,1803,1,2038,2075,1,1,2280,2282,1,2361,2366,2368
INC0000262,2016-07-03 10:00:00,1,1,254,265,789,862,1091,1312,1556,1562,1580,1783,1786,1793,1800,1,2035,2043,1,1,2280,2283,1,2360,2366,2368
INC0000265,2016-07-03 16:00:00,1,1,254,293,815,888,1131,1334,1556,1565,1586,1783,1786,1793,1798,1,2035,1,1,1,2280,2286,1,2360,2367,2368
INC0000266,2016-09-03 17:00:00,1,1,254,265,789,862,1091,1312,1556,1562,1580,1783,1786,1793,1800,1,2035,2043,1,1,2280,2283,1,2360,2367,2368
INC0000268,2016-09-03 08:46:00,1,1,254,265,800,894,1112,1311,1556,1562,1584,1782,1787,1793,1799,1,2035,2058,1,1,2280,2283,1,2360,2367,2368
INC0000269,2016-05-03 14:00:00,0,1,254,293,785,866,1120,1321,1556,1567,1584,1783,1786,1793,1809,1,2035,1,1,1,2280,2282,1,2360,2363,2368
INC0000272,2016-08-03 15:35:00,1,1,254,268,808,862,1132,1343,1556,1562,1589,1782,1785,1793,1803,1,2037,1,1,1,2280,2286,1,2362,2367,2368
INC0000273,2016-09-03 15:00:00,1,1,254,265,788,865,1106,1306,1556,1562,1580,1783,1786,1793,1800,1,2035,2055,1,1,2280,2283,1,2360,2366,2368
INC0000278,2016-05-03 15:00:00,0,1,254,1,804,874,1133,1344,1556,1562,1581,1783,1786,1793,1802,1,2035,2076,1,1,2280,2282,1,2360,2366,2368
INC0000279,2016-07-03 02:00:00,0,1,254,278,785,866,1108,1334,1556,1568,1586,1783,1786,1793,1798,1,2035,1,1,1,2280,2282,1,2360,2365,2368
INC0000280,2016-07-03 19:57:00,1,1,254,293,785,866,1124,1304,1556,1562,1584,1782,1785,1793,1798,1,2035,1,1,1,2280,2287,1,2360,2367,2368
INC0000282,2016-08-03 13:00:00,0,1,254,265,785,862,1100,1312,1556,1562,1580,1783,1786,1793,1800,1,2035,1,1,1,2280,2282,1,2360,2365,2368
INC0000283,2016-06-03 10:00:00,1,1,254,1,808,874,1132,1343,1556,1562,1590,1783,1786,1793,1803,1,2035,2077,1,1,2280,2283,1,2360,2367,2368
INC0000284,2016-07-03 12:00:00,0,1,254,1,789,862,1091,1345,1556,1562,1582,1783,1786,1793,1800,1,2035,2043,1,1,2280,2282,1,2360,2366,2368
INC0000285,2016-07-03 01:00:00,0,1,254,1,785,888,1108,1322,1556,1562,1586,1783,1786,1793,1802,1,2035,1,1,1,2280,2282,1,2360,2366,2368
INC0000286,2016-08-03 17:00:00,1,1,254,265,789,862,1091,1306,1556,1562,1580,1783,1786,1793,1800,1,2035,1,1,1,2280,2283,1,2360,2366,2368
INC0000290,2016-05-03 15:00:00,0,1,254,265,785,864,1120,1322,1556,1559,1584,1783,1786,1793,1802,1,2035,2064,1,1,2280,2282,1,2360,2363,2368
INC0000292,2016-07-03 10:00:00,1,1,254,292,789,862,1094,1304,1556,1562,1583,1783,1786,1794,1798,1,2037,2046,1,1,2280,2285,1,2362,2367,2368
INC0000294,2016-11-03 14:57:00,1,1,254,268,787,864,1134,1304,1556,1562,1591,1782,1787,1793,1798,1,2035,2079,1,1,2280,2283,1,2360,2367,2369
INC0000295,2016-09-03 10:00:00,0,1,254,283,788,865,1090,1346,1556,1566,1589,1783,1786,1793,1813,1,2035,2070,1,1,2280,2282,1,2360,2365,2368
INC0000297,2016-09-03 10:00:00,0,1,254,283,788,865,1090,1346,1556,1566,1589,1783,1786,1793,1813,1,2035,2070,1,1,2280,2282,1,2360,2366,2368
INC0000298,2016-11-30 08:10:00,0,1,254,1,796,864,1135,1347,1557,1562,1581,1783,1786,1794,1800,1,2037,2080,1,1,2281,2282,1,2362,2367,2368
INC0000301,2016-06-03 12:00:00,1,1,254,268,804,865,1136,1344,1556,1562,1589,1783,1786,1793,1802,1,2035,1,1,1,2280,2283,1,2360,2366,2368
INC0000302,2016-10-03 10:40:00,1,1,254,1,788,865,1095,1348,1556,1562,1586,1782,1788,1793,1814,1,2035,2055,1,1,2280,2283,1,2360,2366,2368
INC0000303,2016-10-03 17:47:00,0,1,254,283,793,862,1111,1349,1556,1561,1592,1782,1789,1794,1800,1856,2037,2057,1,1,2280,2282,1,2362,2366,2368
INC0000304,2016-08-03 16:00:00,0,1,254,268,788,865,1090,1306,1556,1562,1589,1783,1786,1793,1800,1,2035,2070,1,1,2280,2282,1,2360,2366,2368
INC0000305,2016-09-03 15:00:00,1,1,254,268,789,862,1091,1306,1556,1562,1589,1783,1786,1793,1800,1,2035,2043,1,1,2280,2283,1,2360,2367,2368
INC0000306,2016-07-03 17:00:00,0,1,254,268,794,862,1093,1336,1556,1561,1582,1783,1786,1793,1810,1,2035,1,1,1,2280,2282,1,2360,2365,2368
INC0000307,2016-12-24 15:00:00,0,1,254,1,796,864,1135,1313,1557,1562,1581,1783,1786,1794,1802,1,2037,2080,1,1,2281,2282,1,2362,2367,2368
INC0000310,2016-06-03 14:00:00,0,1,254,1,796,864,1103,1313,1556,1558,1581,1783,1786,1794,1802,1,2037,2051,1,1,2280,2282,1,2362,2365,2368
INC0000315,2016-07-03 09:12:00,1,1,254,1,801,874,1101,1336,1556,1570,1590,1782,1785,1793,1810,1,2035,1,1,1,2280,2283,1,2360,2366,2368
INC0000317,2016-05-04 06:17:00,0,1,254,1,796,864,1097,1313,1556,1562,1581,1782,1788,1794,1802,1857,2037,2051,1,1,2280,2282,1,2362,2367,2368
INC0000318,2016-03-28 12:10:00,0,1,254,1,796,864,1097,1313,1556,1562,1581,1782,1788,1794,1802,1,2037,2051,1,1,2280,2282,1,2362,2367,2368
INC0000319,2016-07-03 16:00:00,1,1,254,282,811,864,1123,1320,1556,1562,1582,1783,1786,1793,1808,1,2035,2067,1,1,2280,2283,1,2360,2365,2368
INC0000323,2016-05-03 15:00:00,0,1,254,293,785,865,1137,1334,1556,1566,1586,1783,1786,1793,1798,1,2035,1,1,1,2280,2282,1,2360,2363,2368
INC0000324,2016-06-21 10:00:00,0,1,254,294,817,865,1138,1350,1557,1562,1593,1783,1786,1794,1802,1,2037,2082,1,1,2281,2282,1,2360,2367,2368
INC0000325,2016-03-24 18:59:00,0,1,254,1,796,864,1103,1313,1556,1562,1581,1783,1786,1794,1802,1,2037,2083,1,1,2280,2282,1,2362,2367,2368
INC0000329,2016-04-03 14:48:00,1,1,254,293,789,862,1091,1343,1556,1562,1584,1782,1787,1793,1803,1,2035,1,1,1,2280,2286,1,2360,2367,2368
INC0000330,2016-03-24 18:59:00,0,1,254,1,796,864,1103,1313,1556,1561,1581,1783,1786,1794,1802,1,2037,2083,1,1,2280,2282,1,2362,2367,2368
INC0000332,2016-09-03 10:50:00,1,1,254,279,785,895,1117,1321,1556,1561,1586,1782,1788,1793,1809,1,2035,1,1,1,2280,2287,1,2360,2367,2368
INC0000333,2016-04-29 09:41:00,0,1,254,1,796,864,1097,1322,1557,1562,1581,1782,1785,1794,1802,1,2037,2051,1,1,2280,2282,1,2362,2367,2368
INC0000336,2016-10-03 17:27:00,0,1,254,1,796,864,1097,1313,1556,1562,1581,1782,1785,1794,1802,1,2037,2051,1,1,2280,2282,1,2362,2366,2368
INC0000337,2016-05-30 12:23:00,0,1,254,1,796,864,1097,1313,1557,1562,1581,1782,1785,1793,1802,1,2035,2051,1,1,2280,2282,1,2360,2367,2368
INC0000338,2016-10-04 14:59:00,0,1,254,1,796,864,1097,1313,1557,1562,1581,1783,1786,1794,1802,1,2037,2083,1,1,2280,2282,1,2362,2367,2368
INC0000339,2016-05-03 17:00:00,0,1,254,1,788,874,1090,1311,1556,1566,1590,1783,1786,1793,1809,1,2035,1,1,1,2280,2282,1,2360,2364,2368
INC0000341,2016-07-08 15:00:00,0,4,254,1,796,864,1135,1313,1557,1562,1581,1783,1786,1795,1802,1,2038,2049,1,1,2280,2282,1,2361,2367,2368
INC0000343,2016-12-27 10:00:00,0,1,254,296,817,864,1138,1350,1557,1563,1593,1783,1786,1794,1802,1,2037,2082,1,1,2281,2282,1,2360,2367,2368
