DEM,GOP,MedianIncome,MigraRate,BirthRate,DeathRate,BachelorRate
4163.0,14655.0,40147.0,8.3,9.1,17.3,18.3
27894.0,60751.0,64072.0,22.2,14.2,6.9,32.4
2925.0,12225.0,39881.0,4.1,12.8,12.8,16.0
1317.0,2163.0,34114.0,-3.2,12.3,12.7,15.2
636.0,1554.0,33507.0,-6.8,9.1,13.7,12.1
3334.0,6773.0,37145.0,-1.5,11.9,11.1,20.4
2350.0,1716.0,29527.0,-4.4,11.9,13.7,14.7
3606.0,4398.0,37247.0,2.7,10.3,9.3,27.6
1999.0,3779.0,36037.0,-5.6,11.8,16.1,11.6
2101.0,9454.0,42397.0,-1.3,9.1,15.1,14.9
723.0,2460.0,45256.0,0.7,9.6,14.4,16.2
3140.0,5456.0,35322.0,-2.7,11.9,12.2,20.6
2655.0,4844.0,41892.0,-1.5,11.2,12.5,16.0
10474.0,22798.0,44091.0,7.3,14.6,8.5,26.3
4476.0,16655.0,42941.0,4.2,12.2,9.9,15.3
8368.0,6953.0,37627.0,-1.0,16.4,9.8,18.0
1995.0,4577.0,40970.0,-13.8,13.2,12.8,15.4
1165.0,1507.0,33679.0,-13.8,10.3,13.8,13.7
2227.0,1915.0,32392.0,-10.2,13.5,13.6,12.4
2364.0,3967.0,40441.0,-3.5,12.9,12.8,20.6
14525.0,29170.0,50909.0,2.6,12.7,8.0,30.0
1376.0,5034.0,40091.0,-1.8,10.6,13.7,11.8
1067.0,3470.0,33451.0,1.7,9.2,14.2,11.8
12283.0,26053.0,42087.0,7.6,11.5,14.0,20.2
1407.0,5160.0,54411.0,3.5,10.4,11.3,18.3
3056.0,10698.0,45208.0,7.5,13.2,11.0,15.9
2371.0,4391.0,38769.0,-6.8,14.4,10.1,15.1
3137.0,8153.0,46313.0,-0.3,10.5,11.9,14.7
1350.0,3155.0,36166.0,-0.8,13.8,12.0,14.7
2878.0,9925.0,42520.0,0.4,13.1,11.1,18.9
1111.0,4042.0,36987.0,5.3,7.9,12.8,13.8
1583.0,3262.0,35098.0,-3.9,11.9,12.6,10.2
15721.0,9231.0,38485.0,-21.1,12.7,12.3,17.8
2421.0,6072.0,37205.0,-2.2,14.0,10.0,15.8
1028.0,1750.0,32288.0,-16.2,11.1,12.2,16.5
1263.0,4064.0,39015.0,0.2,11.4,14.6,15.0
1735.0,1229.0,26912.0,-34.5,10.6,11.7,8.9
1252.0,2455.0,35419.0,-9.7,8.9,9.5,8.9
1397.0,3604.0,43567.0,3.9,10.9,14.9,11.4
1712.0,5737.0,39361.0,0.6,13.2,13.2,12.1
5638.0,19902.0,56247.0,2.6,13.5,9.4,20.3
1587.0,4917.0,39059.0,22.3,13.6,10.5,12.5
1377.0,5077.0,33950.0,15.5,10.0,15.3,17.2
4273.0,11293.0,38412.0,-3.2,13.8,12.1,16.6
5621.0,6988.0,35846.0,-23.1,15.0,11.3,12.8
1298.0,1400.0,32906.0,-30.2,13.0,17.1,10.5
735.0,2573.0,36435.0,-2.7,9.2,15.4,10.8
1156.0,2001.0,37612.0,-14.6,12.7,13.7,15.4
699.0,2875.0,33107.0,1.8,10.2,11.7,16.2
4320.0,5347.0,36016.0,-9.7,11.1,14.0,16.0
1035.0,2979.0,43819.0,-0.5,11.6,13.4,11.9
4292.0,2443.0,29073.0,-27.7,16.0,14.0,14.0
684.0,3150.0,34821.0,-0.6,10.8,10.9,14.7
1878.0,3149.0,36125.0,0.0,13.9,14.1,10.1
1210.0,6606.0,32941.0,-0.6,11.5,13.1,13.3
4818.0,15694.0,42916.0,0.6,13.1,9.1,22.0
812.0,2503.0,40340.0,-0.6,9.5,14.4,15.1
89377.0,61182.0,47966.0,-2.8,13.9,9.1,34.1
1425.0,4508.0,38647.0,2.3,12.4,14.6,14.0
4031.0,3195.0,39675.0,-14.9,13.0,9.8,10.6
13247.0,35852.0,63618.0,8.8,11.5,9.2,26.1
507.0,2378.0,34245.0,-19.9,11.4,13.1,9.1
601.0,2955.0,29747.0,21.0,11.0,15.1,12.5
12184.0,28769.0,42559.0,-2.9,13.4,10.1,19.7
1075.0,3281.0,38697.0,-23.4,15.4,9.1,11.5
1472.0,5405.0,32379.0,16.6,11.5,16.1,11.3
1189.0,4081.0,31955.0,12.8,9.8,13.1,12.8
5667.0,10201.0,41546.0,-6.3,13.8,12.8,20.8
1547.0,5382.0,38166.0,-3.4,9.3,14.4,14.1
32296.0,40418.0,46367.0,9.9,14.4,6.9,32.8
5157.0,21038.0,44329.0,-0.8,11.8,10.5,21.4
1117.0,1344.0,30400.0,-10.9,10.6,15.6,12.0
1472.0,4600.0,38658.0,-1.1,13.0,12.4,13.5
337524.0,64010.0,89472.0,3.6,11.9,5.9,46.0
318.0,211.0,57481.0,-23.3,2.8,5.6,30.0
3420.0,6069.0,59789.0,14.2,8.3,11.7,20.3
31638.0,35354.0,45097.0,7.3,10.9,10.6,26.5
6740.0,11064.0,57990.0,11.0,8.4,11.7,18.7
2484.0,3425.0,54861.0,6.1,14.3,7.1,15.4
231968.0,87211.0,90920.0,7.1,11.0,6.9,41.7
2997.0,4370.0,39458.0,5.9,10.8,10.2,14.3
28026.0,37286.0,75100.0,7.3,8.6,8.1,33.7
98103.0,94005.0,48323.0,-1.3,15.7,6.7,20.7
1766.0,3405.0,46141.0,-1.4,13.6,9.5,13.9
19596.0,10883.0,43164.0,7.8,10.8,9.7,29.8
14331.0,5607.0,43327.0,-4.9,17.1,6.1,14.5
3067.0,4128.0,53350.0,-10.9,10.6,9.4,26.1
64980.0,95064.0,49812.0,-3.2,15.6,6.6,16.1
9077.0,13158.0,51320.0,-14.5,15.1,5.3,13.5
6240.0,5752.0,40818.0,-3.6,11.5,13.7,15.8
2026.0,6533.0,49793.0,-18.4,9.2,6.3,12.0
1654626.0,542591.0,61308.0,-3.7,12.3,6.2,31.8
13283.0,19221.0,49467.0,-5.1,14.9,7.1,14.5
69518.0,14214.0,103488.0,-2.9,8.7,7.2,58.8
2568.0,4317.0,51233.0,-7.3,8.9,11.2,23.4
6905.0,3571.0,45247.0,1.0,11.9,10.4,24.7
21856.0,18486.0,47442.0,-3.8,15.4,6.7,14.0
798.0,2413.0,42890.0,-7.9,8.0,12.7,15.9
2551.0,1989.0,56574.0,5.0,9.5,3.2,30.6
47387.0,19580.0,62999.0,-0.5,14.6,5.9,24.5
20454.0,9335.0,73112.0,-0.8,10.1,8.6,34.9
16199.0,14686.0,60501.0,4.2,8.3,9.9,36.6
413982.0,371268.0,81642.0,-0.5,12.0,6.2,39.9
43915.0,55212.0,85326.0,15.1,9.9,8.5,38.6
3224.0,5079.0,53646.0,16.0,8.0,10.4,23.5
253215.0,240013.0,59951.0,8.6,12.9,6.8,21.8
217211.0,133829.0,59728.0,6.1,13.0,7.6,30.4
6751.0,4358.0,73298.0,10.0,12.8,5.9,19.7
258409.0,214698.0,56194.0,0.0,14.5,6.5,20.3
429338.0,298521.0,70693.0,1.2,13.1,6.4,38.1
238772.0,27633.0,101873.0,6.5,10.4,6.6,57.1
71349.0,56194.0,59038.0,7.7,13.9,7.5,18.4
53911.0,44981.0,69517.0,5.5,9.4,8.5,34.6
163084.0,40809.0,107075.0,-2.0,11.7,6.1,49.9
85147.0,45788.0,66360.0,-0.7,12.6,7.0,33.8
406049.0,116196.0,110843.0,-0.5,12.1,5.3,51.3
60529.0,14523.0,75929.0,-0.5,10.3,6.3,40.0
17483.0,40447.0,46663.0,1.9,11.5,12.2,22.2
596.0,1044.0,48099.0,-10.1,8.1,10.4,18.7
5252.0,8392.0,40875.0,6.5,9.6,12.8,22.5
87419.0,45641.0,73200.0,8.4,11.9,7.4,26.2
116027.0,37421.0,73496.0,2.1,9.9,8.2,34.9
51171.0,52567.0,54060.0,4.8,14.5,8.1,16.9
7599.0,10947.0,51283.0,0.0,14.0,8.6,17.7
5120.0,11429.0,40585.0,1.8,12.8,10.4,15.5
1876.0,2409.0,38727.0,-14.6,8.2,14.0,19.7
23663.0,33372.0,45768.0,-4.5,15.9,6.6,14.3
7075.0,10614.0,50431.0,7.6,8.7,13.4,20.0
143095.0,101351.0,79470.0,-2.7,11.6,6.6,33.1
34460.0,13178.0,63645.0,10.9,11.3,6.0,41.6
5115.0,8869.0,46054.0,4.7,16.1,8.4,16.7
86471.0,73807.0,65442.0,6.4,14.6,6.0,23.6
3168.0,3031.0,37057.0,5.5,12.3,8.9,26.1
148365.0,109638.0,70866.0,5.9,12.8,6.2,42.2
2489.0,4234.0,51998.0,32.3,9.4,7.2,38.9
278.0,1716.0,34070.0,0.8,9.6,17.5,22.1
581.0,1166.0,33951.0,-37.3,6.9,10.6,12.4
124715.0,38766.0,74772.0,7.3,8.8,5.7,60.8
19530.0,14272.0,86870.0,19.4,10.9,5.8,55.5
4773.0,5283.0,49877.0,28.7,7.0,9.9,33.5
127.0,905.0,50558.0,9.8,13.6,11.4,20.0
2585.0,2426.0,68699.0,10.4,8.4,6.0,46.5
1753.0,1885.0,34390.0,-3.2,12.8,11.2,20.2
1109.0,581.0,27211.0,37.4,8.2,13.2,19.1
336.0,1069.0,35873.0,-62.9,5.9,10.1,9.6
797.0,2059.0,52021.0,40.3,5.3,11.5,36.9
4048.0,11584.0,41798.0,17.0,9.5,12.0,21.2
174611.0,43637.0,61038.0,11.5,13.5,6.3,47.9
227.0,936.0,46791.0,37.7,7.4,7.4,21.3
67045.0,100178.0,112399.0,12.3,10.7,4.1,57.9
12652.0,8153.0,79556.0,2.8,12.0,2.2,48.1
3056.0,11536.0,86693.0,17.2,8.5,4.9,35.9
105807.0,176506.0,63610.0,13.7,13.9,6.3,37.9
5275.0,15066.0,46372.0,18.7,8.3,11.6,18.2
11205.0,13071.0,69161.0,10.7,13.8,5.9,30.0
1634.0,1564.0,65472.0,16.0,7.0,5.1,38.7
3319.0,4467.0,63875.0,25.7,8.4,4.3,37.8
5068.0,3250.0,53753.0,14.4,9.2,4.8,55.3
197.0,339.0,51717.0,32.2,6.4,6.4,43.9
1631.0,1875.0,34626.0,37.1,6.6,17.6,21.4
171.0,628.0,46671.0,4.4,9.6,9.6,16.8
151885.0,130233.0,74342.0,8.6,10.5,7.6,44.1
91.0,726.0,43951.0,-28.6,12.5,15.4,21.5
526.0,2894.0,48272.0,-77.7,12.5,10.1,18.9
1600.0,1264.0,49064.0,14.1,10.6,5.9,34.0
15300.0,12471.0,58499.0,8.2,10.1,6.5,43.9
92170.0,82624.0,66561.0,12.9,10.2,6.5,46.3
2614.0,3656.0,38224.0,6.0,9.7,13.2,19.7
399.0,1873.0,42969.0,2.2,9.7,11.0,12.8
1843.0,7272.0,49407.0,-0.5,10.7,11.9,20.5
20958.0,48129.0,49825.0,8.9,11.8,9.9,27.4
237.0,344.0,52641.0,13.3,10.7,6.7,39.9
874.0,5293.0,54151.0,9.4,13.8,7.4,17.1
3920.0,7771.0,40679.0,10.0,11.1,10.4,28.6
5438.0,14303.0,43285.0,14.4,10.8,10.7,23.9
3128.0,8104.0,49129.0,-8.8,15.7,10.2,17.6
1719.0,2988.0,36773.0,2.3,11.9,14.1,17.7
1690.0,1337.0,66813.0,38.1,6.8,6.8,48.6
3351.0,6053.0,68535.0,35.6,6.7,5.9,30.2
436.0,1791.0,49046.0,-14.6,14.4,10.2,25.5
7239.0,2522.0,74576.0,-4.2,8.6,3.4,63.1
1173.0,3508.0,40164.0,-1.8,14.3,12.7,17.4
27945.0,27746.0,44644.0,9.9,11.2,10.4,22.0
433.0,2782.0,58980.0,-8.0,12.0,9.4,20.2
1985.0,3060.0,41128.0,-1.1,11.1,11.5,23.7
7487.0,5149.0,71322.0,10.0,9.3,4.3,50.4
1345.0,1109.0,33973.0,20.1,11.7,7.3,22.9
265.0,215.0,44652.0,-2.9,8.7,4.4,34.5
2960.0,1030.0,67251.0,18.0,8.4,3.3,56.7
267.0,1015.0,42518.0,15.1,12.6,15.1,20.8
9502.0,5064.0,70265.0,10.6,9.4,2.1,51.0
3547.0,9580.0,63966.0,27.0,8.0,7.3,34.0
289.0,2284.0,46304.0,12.7,11.8,14.1,16.2
45869.0,75882.0,63609.0,25.3,14.8,6.0,26.7
701.0,3755.0,48963.0,-2.1,15.2,10.1,22.1
238723.0,155457.0,89954.0,-4.0,10.6,7.1,47.4
233789.0,147912.0,69341.0,-4.2,10.5,8.7,37.8
39836.0,53376.0,76323.0,-5.4,7.8,9.7,35.1
45306.0,38847.0,80190.0,-1.3,8.0,9.1,41.5
203601.0,158373.0,66012.0,-3.9,10.3,9.0,34.9
62951.0,54574.0,70258.0,-4.9,9.8,9.0,33.3
38450.0,33989.0,81369.0,-5.0,7.7,6.6,41.2
21776.0,25738.0,60869.0,-4.1,9.5,9.0,24.1
33347.0,36989.0,53994.0,4.2,12.8,9.0,23.6
162905.0,85507.0,67246.0,-0.5,11.8,8.2,35.9
39329.0,62607.0,56618.0,21.9,10.6,11.1,26.5
260223.0,11553.0,74093.0,9.4,14.3,7.1,57.6
75370.0,46584.0,45294.0,15.6,11.0,7.1,42.5
2112.0,10294.0,51904.0,14.9,12.2,8.3,13.4
21689.0,62010.0,48843.0,8.2,13.0,10.2,22.8
2924.0,8913.0,43058.0,-0.3,11.1,10.9,10.6
119525.0,181620.0,51214.0,23.0,9.2,12.4,29.3
546956.0,258521.0,54055.0,10.5,11.8,7.8,31.9
1236.0,4647.0,36708.0,-1.9,10.2,13.4,9.9
33421.0,60196.0,44935.0,38.7,5.9,14.6,23.2
22765.0,54377.0,40009.0,28.2,7.3,17.7,17.6
27768.0,74898.0,57476.0,21.1,10.8,8.2,24.1
60941.0,105297.0,62397.0,25.3,9.1,8.8,36.2
7599.0,20359.0,41667.0,14.4,11.9,11.4,15.6
3761.0,6744.0,34146.0,15.0,10.3,8.3,11.4
1270.0,5822.0,34146.0,10.7,9.3,13.3,9.4
203627.0,210061.0,51948.0,11.0,14.3,8.6,29.2
57114.0,88370.0,45004.0,5.2,12.7,10.7,26.4
21985.0,33804.0,50863.0,32.2,7.5,12.2,24.4
1738.0,4119.0,37479.0,13.9,8.2,11.6,17.1
14994.0,6721.0,40865.0,-1.7,12.2,10.5,16.7
1457.0,6740.0,41721.0,12.2,11.2,10.3,14.2
1271.0,2996.0,39607.0,26.6,5.4,8.9,9.9
1715.0,5320.0,38381.0,12.5,7.4,11.6,17.7
1899.0,3439.0,34517.0,1.3,11.3,9.7,9.3
2147.0,5238.0,37612.0,-4.8,14.3,7.9,10.4
4610.0,6192.0,39911.0,12.3,15.2,7.8,8.2
31818.0,59029.0,46225.0,31.1,8.8,14.5,17.5
14901.0,29509.0,36864.0,25.0,9.2,14.7,17.0
306422.0,265928.0,54509.0,18.5,12.8,7.7,32.7
852.0,7476.0,41110.0,8.9,10.5,13.3,10.3
28997.0,48564.0,49813.0,30.1,8.3,13.3,28.3
6383.0,14231.0,37358.0,-3.3,10.5,13.1,13.4
3537.0,3930.0,43453.0,-8.5,8.8,11.8,22.0
515.0,2795.0,40653.0,4.6,7.2,8.5,15.8
62597.0,101888.0,50125.0,31.5,9.8,12.1,22.7
124725.0,191141.0,52989.0,32.3,9.5,9.7,27.8
91936.0,53777.0,51041.0,-1.0,10.5,6.1,45.7
5091.0,13758.0,33092.0,9.7,9.9,13.8,12.6
651.0,2542.0,38900.0,-14.4,9.1,7.4,12.7
3526.0,4849.0,33721.0,-7.6,11.1,13.1,13.8
71066.0,101681.0,51770.0,35.9,9.4,10.7,29.3
61958.0,107710.0,39629.0,19.7,10.2,14.2,19.4
30158.0,53182.0,55917.0,21.9,8.1,12.2,33.0
623006.0,333666.0,45886.0,8.1,12.0,7.4,28.8
18949.0,21885.0,63892.0,4.2,9.7,10.1,33.3
10849.0,34221.0,67967.0,25.8,10.3,9.8,28.2
23711.0,71788.0,58009.0,7.2,14.1,9.1,30.6
3953.0,9342.0,37689.0,20.4,12.6,11.2,11.4
329579.0,195091.0,51312.0,19.4,12.8,6.0,33.8
85287.0,50252.0,50716.0,36.2,12.9,6.4,20.5
371411.0,270762.0,57607.0,18.3,10.4,10.1,35.7
89998.0,141943.0,46326.0,31.6,10.2,12.0,23.4
233327.0,238746.0,49974.0,16.9,9.0,12.2,31.0
117182.0,157216.0,46289.0,25.2,11.6,10.3,20.0
9920.0,21873.0,37526.0,8.0,11.5,13.4,12.4
43037.0,88633.0,78544.0,36.0,9.3,8.4,43.7
66812.0,70248.0,45509.0,27.8,10.1,10.2,20.3
18398.0,65126.0,62668.0,18.5,11.5,8.2,28.1
97676.0,124098.0,55088.0,26.3,7.1,13.5,34.7
105611.0,109265.0,61253.0,13.5,10.3,7.4,38.2
22631.0,52722.0,56568.0,51.8,4.0,14.9,31.1
3955.0,14281.0,40572.0,5.9,10.6,12.6,14.7
2149.0,6923.0,40180.0,-11.0,11.3,11.4,7.4
1014.0,4567.0,43795.0,4.6,9.8,15.8,8.3
108793.0,142763.0,45356.0,26.1,9.5,13.1,23.6
4348.0,10507.0,56158.0,9.4,10.8,8.4,18.4
6861.0,25695.0,54686.0,33.6,12.2,9.2,28.4
2261.0,8630.0,34787.0,0.3,9.6,13.5,11.7
1434.0,5492.0,37954.0,-1.5,13.7,12.2,9.7
696.0,1873.0,33318.0,-17.0,15.8,10.0,9.9
607.0,3356.0,36873.0,3.9,13.4,12.0,10.1
650.0,775.0,35452.0,-2.2,8.8,9.7,12.3
7965.0,7691.0,40683.0,-6.8,9.5,9.6,20.9
684.0,6130.0,43370.0,-4.1,10.6,9.6,12.8
6580.0,21105.0,54893.0,20.2,13.9,7.9,17.6
8204.0,29879.0,52497.0,8.3,12.9,8.9,19.5
2098.0,3734.0,32644.0,-6.4,13.4,13.8,12.0
1041.0,5408.0,39174.0,-1.4,12.9,11.6,11.8
34383.0,22589.0,38115.0,-8.0,13.5,10.6,25.7
1094.0,3717.0,41447.0,12.9,10.0,11.2,17.2
619.0,5561.0,37675.0,-4.0,12.6,10.9,8.2
2504.0,3679.0,33676.0,4.4,11.8,12.4,15.2
4010.0,10513.0,77244.0,22.3,14.6,7.2,32.6
8812.0,14476.0,42083.0,16.0,12.1,7.2,27.4
4730.0,4491.0,37410.0,-4.0,14.1,11.7,12.6
2566.0,6717.0,46141.0,9.3,10.6,10.8,11.4
1178.0,829.0,33478.0,-25.1,7.6,10.2,9.4
5914.0,12287.0,53130.0,-8.9,15.0,6.7,24.5
1023.0,2661.0,32970.0,0.4,12.3,14.5,14.1
12422.0,29983.0,50598.0,10.0,13.0,8.6,20.6
4769.0,20860.0,53740.0,6.8,10.9,10.1,20.8
1004.0,2950.0,38948.0,-32.1,8.9,7.6,10.5
58998.0,43649.0,52746.0,3.7,14.0,8.3,33.2
593.0,746.0,44097.0,-108.2,18.6,3.7,33.4
1612.0,6457.0,37345.0,-2.5,11.9,12.1,9.8
25203.0,80611.0,78668.0,21.5,11.9,6.1,37.0
29514.0,12691.0,36692.0,5.7,10.9,5.8,42.7
697.0,566.0,27648.0,-21.4,11.2,13.2,7.9
75908.0,11740.0,44598.0,14.4,15.8,5.7,19.5
685.0,1724.0,34777.0,-12.4,14.6,13.4,11.1
159416.0,152602.0,70950.0,5.3,12.7,5.6,46.5
4090.0,9575.0,38704.0,-5.1,13.2,9.8,13.2
3460.0,9892.0,34931.0,-3.6,13.9,10.7,12.5
18863.0,43060.0,74908.0,17.7,12.8,6.1,35.1
1752.0,4175.0,35518.0,4.1,12.4,11.1,15.5
16572.0,42513.0,71114.0,12.3,11.6,7.3,29.8
1419.0,3632.0,44014.0,-7.1,9.2,9.1,10.3
2835.0,4539.0,34211.0,-4.8,13.3,11.0,13.7
965.0,5047.0,36213.0,5.5,10.1,11.7,13.9
1444.0,9880.0,61229.0,10.6,10.4,8.4,30.4
4104.0,6009.0,36136.0,-16.3,14.1,11.8,14.6
239131.0,47531.0,56053.0,8.3,15.0,6.1,43.4
1836.0,5021.0,35779.0,-13.4,10.4,11.1,13.7
1860.0,1941.0,40591.0,-11.2,7.9,10.0,11.3
23224.0,10227.0,35750.0,-15.1,13.4,10.7,21.4
30971.0,24803.0,59665.0,5.7,12.6,6.9,27.1
2165.0,2552.0,26934.0,-15.4,12.8,12.9,15.6
156.0,1006.0,35892.0,-23.5,13.3,8.0,8.8
4851.0,17865.0,63776.0,21.4,13.7,7.4,20.1
2507.0,5269.0,37131.0,-5.9,11.5,13.7,10.8
2433.0,5330.0,32495.0,-3.7,13.4,12.1,12.4
1130.0,2404.0,34689.0,-7.2,13.7,11.0,15.5
1920.0,9622.0,41487.0,29.3,7.9,13.4,21.3
23255.0,35034.0,83145.0,10.4,7.9,8.0,46.5
9127.0,24045.0,46634.0,3.7,12.9,11.5,20.4
23427.0,69801.0,101804.0,36.2,11.1,5.4,51.7
1243.0,7054.0,41543.0,1.8,12.0,12.4,13.5
281875.0,110372.0,62824.0,10.6,12.3,6.2,51.4
1955.0,10465.0,46332.0,13.2,11.6,11.1,20.0
138.0,1235.0,41412.0,-9.3,9.3,13.3,9.0
11738.0,21482.0,48691.0,9.2,11.4,10.3,29.6
3176.0,15171.0,45705.0,7.0,12.6,8.9,14.4
3005.0,6047.0,40234.0,-13.0,13.7,10.1,14.1
